window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
1562,781000,785000,786000,0.0016897708109012977,0.35294117647058826,0.01182688164595439,200,160,40,0.006011247634887695,0.3917844295501709,
1575,787500,791500,792500,-0.004031846457513866,0.7843137254901961,0.012315304199420795,200,160,40,0.010905742645263672,0.3921384811401367,
1589,794500,798500,799500,-0.007044193984340669,0.9607843137254902,0.01204965465396552,200,160,40,0.005867719650268555,0.40666794776916504,
1602,801000,805000,806000,-0.0015313283818086665,0.6862745098039216,0.012885791748386808,200,160,40,0.007760763168334961,0.39469337463378906,
1616,808000,812000,813000,-0.0014127832297780307,0.6470588235294118,0.012385164156764574,200,160,40,0.007559537887573242,0.3978433609008789,
1629,814500,818500,819500,0.0016946015342037823,0.37254901960784315,0.013083118532124502,200,160,40,0.007723808288574219,0.38710546493530273,
1642,821000,825000,826000,-0.002580557010890855,0.5882352941176471,0.012511973548310613,200,160,40,0.0061604976654052734,0.3885688781738281,
1656,828000,832000,833000,-0.003327663757377808,0.803921568627451,0.012388178155927146,200,160,40,0.007685184478759766,0.3943021297454834,
1669,834500,838500,839500,-0.0020442919344830224,0.5098039215686274,0.012921136994555535,200,160,40,0.006391286849975586,0.3866698741912842,
1682,841000,845000,846000,-0.0066405066468939455,0.9215686274509803,0.013129049875213883,200,160,40,0.007658720016479492,0.3991270065307617,
1696,848000,852000,853000,0.0062642471822180745,0.0784313725490196,0.013166138510187083,200,160,40,0.0,0.37342309951782227,
1709,854500,858500,859500,0.001089030071332625,0.4117647058823529,0.012819761527613488,200,160,40,0.0,0.37377190589904785,
1722,861000,865000,866000,0.00355871754023257,0.21568627450980393,0.011556416522920342,200,160,40,0.0070073604583740234,0.40705227851867676,
1736,868000,872000,873000,-0.007369776852444332,0.9803921568627451,0.013045869206187933,200,160,40,0.006845712661743164,0.3840765953063965,
