window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
542,271000,275000,276000,-0.0027877240470532694,0.6274509803921569,0.023684753286401485,200,160,40,0.009748697280883789,1.559065580368042,
550,275000,279000,280000,0.018326694489989526,0.0196078431372549,0.027555897339584662,200,160,40,0.008339405059814453,1.292088270187378,
557,278500,282500,283500,-0.001400409870720598,0.6862745098039216,0.02209225699193631,200,160,40,0.00659632682800293,1.3063557147979736,
565,282500,286500,287500,0.008792459017769844,0.0784313725490196,0.018869911570902616,200,160,40,0.0,1.3280746936798096,
573,286500,290500,291500,-0.004814173578712416,0.6666666666666666,0.02781809931921019,200,160,40,0.015938997268676758,1.29374098777771,
581,290500,294500,295500,-0.004586691711535196,0.7254901960784313,0.019338614515058968,200,160,40,0.009705781936645508,1.3106131553649902,
589,294500,298500,299500,0.0006158871545690336,0.49019607843137253,0.023233592787055148,200,160,40,0.00751805305480957,1.351170539855957,
597,298500,302500,303500,-0.0010360818959792573,0.5294117647058824,0.021965081757691726,200,160,40,0.008655309677124023,1.2954380512237549,
605,302500,306500,307500,0.0065584963452311185,0.21568627450980393,0.023714098091200207,200,160,40,0.009108304977416992,1.3352735042572021,
613,306500,310500,311500,-0.004246204294231393,0.7450980392156863,0.023002895192694238,200,160,40,0.0075130462646484375,1.268488883972168,
620,310000,314000,315000,-0.0025445188731798296,0.6666666666666666,0.02029779486549266,200,160,40,0.009190559387207031,1.3449952602386475,
628,314000,318000,319000,0.008321264816955248,0.0784313725490196,0.025452532283240892,200,160,40,0.009699583053588867,1.2996928691864014,
636,318000,322000,323000,0.010494454046520357,0.0784313725490196,0.032141142895692115,200,160,40,0.0077779293060302734,1.3634519577026367,
644,322000,326000,327000,-0.004552328324145899,0.7254901960784313,0.03977832618140253,200,160,40,0.008080482482910156,1.3134987354278564,
652,326000,330000,331000,0.0031710634168982677,0.21568627450980393,0.030460504904592088,200,160,40,0.007282733917236328,1.2958247661590576,
660,330000,334000,335000,0.005770060560499668,0.21568627450980393,0.014790917031791766,200,160,40,0.009155035018920898,1.2747881412506104,
668,334000,338000,339000,0.003310830906223694,0.43137254901960786,0.023272881766281176,200,160,40,0.009476661682128906,1.391263484954834,
675,337500,341500,342500,-0.00963426178517085,0.9607843137254902,0.027852419031019773,200,160,40,0.011165380477905273,1.309000015258789,
683,341500,345500,346500,-0.0036406936713234417,0.5882352941176471,0.022416790302106505,200,160,40,0.007758617401123047,1.299767017364502,
691,345500,349500,350500,-0.002939899781827432,0.6078431372549019,0.02193875338464556,200,160,40,0.006772279739379883,1.454498291015625,
699,349500,353500,354500,-0.01189353908375168,1.0,0.030833032417180176,200,160,40,0.01617598533630371,1.3369336128234863,
707,353500,357500,358500,0.017877358429086138,0.0196078431372549,0.016450065578000706,200,160,40,0.007986068725585938,1.3677070140838623,
715,357500,361500,362500,-0.0009380926037500514,0.5098039215686274,0.019801188840701728,200,160,40,0.0,1.2874870300292969,
723,361500,365500,366500,0.004889956995315359,0.35294117647058826,0.022066297997906766,200,160,40,0.00969386100769043,1.4059243202209473,
730,365000,369000,370000,0.0009706830911423159,0.47058823529411764,0.025781549191143636,200,160,40,0.010497331619262695,1.66131591796875,
738,369000,373000,374000,0.004663941042956116,0.21568627450980393,0.020458405573720393,200,160,40,0.016715288162231445,1.7302055358886719,
746,373000,377000,378000,0.015862410660295062,0.0196078431372549,0.01848779100865592,200,160,40,0.007170438766479492,1.4079618453979492,
754,377000,381000,382000,-0.001034782097331599,0.45098039215686275,0.018466480562573634,200,160,40,0.0,1.4704501628875732,
762,381000,385000,386000,-0.009081553630950867,1.0,0.026326074141225494,200,160,40,0.014967679977416992,1.7499604225158691,
770,385000,389000,390000,0.01810844166176659,0.0392156862745098,0.018619188880776336,200,160,40,0.008472204208374023,2.2307052612304688,
778,389000,393000,394000,0.002468450316371662,0.3137254901960784,0.02459665231779149,200,160,40,0.006949424743652344,2.067458391189575,
785,392500,396500,397500,8.748108325420945e-05,0.39215686274509803,0.02098440389654819,200,160,40,0.0058062076568603516,1.5800917148590088,
793,396500,400500,401500,-0.0021906872085490636,0.6470588235294118,0.0204908245737421,200,160,40,0.0,2.5402839183807373,
801,400500,404500,405500,0.0034489180107169226,0.21568627450980393,0.026875557512150854,200,160,40,0.0103607177734375,1.872004747390747,
809,404500,408500,409500,0.014931142491199173,0.0392156862745098,0.02078166740026698,200,160,40,0.017357349395751953,1.7841944694519043,
817,408500,412500,413500,-0.002510773560876617,0.7058823529411765,0.019562146217635128,200,160,40,0.005918264389038086,1.8218085765838623,
825,412500,416500,417500,0.006080734459625814,0.19607843137254902,0.026053504005294048,200,160,40,0.008008003234863281,1.8103013038635254,
833,416500,420500,421500,0.032949005377898244,0.0196078431372549,0.018000758755036133,200,160,40,0.008574485778808594,1.9164481163024902,
840,420000,424000,425000,-0.0017654851155665674,0.6274509803921569,0.018624293253072622,200,160,40,0.008455514907836914,1.7650995254516602,
848,424000,428000,429000,0.002295651499674811,0.3333333333333333,0.024611486432130167,200,160,40,0.010012149810791016,1.3861448764801025,
856,428000,432000,433000,-0.0005070258717961296,0.5686274509803921,0.03244786910557779,200,160,40,0.008805036544799805,1.4995946884155273,
